datakey,unit_id,cluster_gmm
dynamic28712-3-8-Fluorescence-7b721b-v4a,874,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,876,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,886,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,889,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,891,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,906,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,918,33
dynamic28712-3-8-Fluorescence-7b721b-v4a,923,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,934,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,936,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,959,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,976,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,982,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1005,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1011,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,1016,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1031,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1044,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1046,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1047,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1051,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1052,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1057,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1075,33
dynamic28712-3-8-Fluorescence-7b721b-v4a,1079,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1090,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1110,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1127,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1132,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,1134,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1146,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,1158,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,1188,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1221,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1229,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1230,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1233,49
dynamic28712-3-8-Fluorescence-7b721b-v4a,1236,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1244,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1247,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1250,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1251,13
dynamic28712-3-8-Fluorescence-7b721b-v4a,1252,33
dynamic28712-3-8-Fluorescence-7b721b-v4a,1270,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,1276,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1285,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1288,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1292,21
